Corpus 1,Corpus 2,value
yossibeber1,FrazzleUnicorn,0.5544759395430883
slinkysown68849,1Ycmeired,0.5546097797569882
mHtUq817Q1VAYag,Ah56015457,0.5546190317645296
duct_pure,Z87362157,0.5546955145524625
arcodeAndroid,NatiFrid,0.5547429460717406
igal80448046748,BendavidDudi,0.5547988922782843
KingDavid1711,Ilana80028045,0.5549109806440298
ziporaortal,selectivit,0.5551952392615953
OFgSTCH7IvIILSB,BendavidDudi,0.5554543520388775
Nobleinopal,70SKsJcTocTNevL,0.5556799080158418
NatiFrid,DanielOriii,0.555884539267393
wtf25986999,naorlyn,0.5559051196825229
navak50,NatiFrid,0.5559325664580547
OrwellTruth1984,Nobleinopal,0.5566280099112448
SvetkaIL,AriBargar,0.5567016949471162
SvetkaIL,Nobleinopal,0.5567260295203078
ziporaortal,NacShaul,0.5567354471565218
Ha_Drakon,AmirLevy3,0.5568788304646234
tamim1379487781,AmirLevy3,0.5569005552712504
igal80448046748,SwmrwnWry38466,0.5569694304582077
hotbot699,Meir1973782,0.5571048062878652
xrJSbVEHWcYU7up,NatiFrid,0.557162481473981
duct_pure,AmirLevy3,0.557297647326959
tami2759721463,KingDavid1711,0.5573938405691591
igal80448046748,KingDavid1711,0.5576233466159051
paXqueville,Meir1973782,0.5577314142300219
ziporaortal,babusha110,0.5581464170462265
slinkysown68849,naorlyn,0.5582870697291308
babusha110,AmnonShulman,0.5583122206723751
Meir1973782,1Ycmeired,0.5583706636137056
yosi_shahbar,prydmn6,0.5584417079809009
wtf25986999,smolan_with_s,0.5584704710657069
Z87362157,Ilana80028045,0.5585038708931649
smolan_with_s,Nobleinopal,0.5586707962589289
ilan97933576,Ha_Drakon,0.5587457017459194
ziporaortal,yossibeber1,0.5589236940374578
ziporaortal,igal80448046748,0.5590072876880919
LakersssLa,FrazzleUnicorn,0.5591986315308274
igal80448046748,FrazzleUnicorn,0.5593737207685358
slinkysown68849,babusha110,0.5594547810221695
shogokipppp,Ah56015457,0.559805458312408
selectivit,FrazzleUnicorn,0.559957485394783
OFgSTCH7IvIILSB,AmnonShulman,0.560017836342084
ptrywt21,indianados1,0.5601155508391535
wtf25986999,70SKsJcTocTNevL,0.5602479592145166
danidin090,Ilana80028045,0.560317065254267
Pusha44986409,NatiFrid,0.5605153401661207
GYmJISSkCReYUET,Ah56015457,0.5606467604670468
Ah56015457,70SKsJcTocTNevL,0.5607499547676862
ayala25094128,NatiFrid,0.5608178722637225
babusha110,Meir1973782,0.5608934779090012
indianados1,FrazzleUnicorn,0.5609076487382793
tamim1379487781,danidin090,0.5609353045028778
slinkysown68849,elizipori,0.5609938459988392
OrwellTruth1984,AriBargar,0.5611751182375043
hotbot699,AmnonShulman,0.5613385081699098
LakersssLa,AmnonShulman,0.5613398167648437
yossibeber1,BendavidDudi,0.5614166189506635
moshenatania,Ah56015457,0.5614501574859012
shogokipppp,AriBargar,0.5616237627783204
thefardude,FrazzleUnicorn,0.5616770985991248
OrwellTruth1984,Ah56015457,0.5616909609383884
thefardude,MyWyzmn8996,0.5617386652926264
edihoo2,danidin090,0.5618957917578413
xrJSbVEHWcYU7up,Nobleinopal,0.5622871455344302
arcodeAndroid,AriBargar,0.5623629223798745
elizipori,Meir1973782,0.5624207092616916
avar14700079,Meir1973782,0.5625083443201101
AriBargar,70SKsJcTocTNevL,0.5626979755857743
lion7053,ilan97933576,0.5630422023744305
wtf25986999,mHtUq817Q1VAYag,0.5632080521294515
DanielOriii,AriBargar,0.5632783079450152
slinkysown68849,mHtUq817Q1VAYag,0.5632925718255014
AriBargar,51JYvsb1i7LDjyW,0.563294888484502
Pusha44986409,AriBargar,0.5633580358227214
FrazzleUnicorn,EpsteinBarr7,0.5635251714438628
tami2759721463,AmnonShulman,0.5635847690388017
edihoo2,EpsteinBarr7,0.5636197972088111
DanielOriii,Ah56015457,0.5637418134524594
hotbot699,FrazzleUnicorn,0.5637730910706149
shogokipppp,Nobleinopal,0.5640587606172084
NatiFrid,GYmJISSkCReYUET,0.5641533112780046
naorlyn,Meir1973782,0.5642870365374704
igal80448046748,edihoo2,0.564442426571124
arcodeAndroid,Nobleinopal,0.5646911210696614
YahavYonatan,NatiFrid,0.5647961668365454
SvetkaIL,Meir1973782,0.5649385660454076
